,archetype_category,IECC_climate_code,TYPEHUQ,cluster_count,best_prediction_accuracy,bic
0,construction,7AK,1,2,0.8333333333333333,37.0439743971084
1,construction,7AK,1,3,0.8333333333333333,212.39180132190563
2,construction,7AK,1,4,0.6333333333333333,519.267521313109
3,construction,7AK,1,5,0.5333333333333333,743.8666910113436
0,systems,7AK,1,2,0.9333333333333332,176.01654072124745
1,systems,7AK,1,3,0.8333333333333333,233.50265886475472
2,systems,7AK,1,4,0.7333333333333333,247.4923170473245
3,systems,7AK,1,5,0.7333333333333333,336.6704823099724
0,energy_loads,7AK,1,2,0.8333333333333333,134.81836011539724
1,energy_loads,7AK,1,3,0.4666666666666666,76.60480964787399
2,energy_loads,7AK,1,4,0.0,11.231652246756965
3,energy_loads,7AK,1,5,0.0,34.859318820249314
0,construction,7AK,2,2,0.961491935483871,3188.3882522191952
1,construction,7AK,2,3,0.9100806451612904,4170.461676449605
2,construction,7AK,2,4,0.7566532258064516,4192.835149508139
3,construction,7AK,2,5,0.7118951612903226,5530.9571577229235
4,construction,7AK,2,6,0.6278225806451612,6399.722720625208
5,construction,7AK,2,7,0.7179435483870967,6329.084963214995
6,construction,7AK,2,8,0.5004032258064516,7114.1088268985295
7,construction,7AK,2,9,0.4935483870967742,8501.745971832064
8,construction,7AK,2,10,0.4487903225806452,9773.659483953099
9,construction,7AK,2,11,0.4425403225806452,12198.975339824134
10,construction,7AK,2,12,0.4558467741935484,12878.514828507668
11,construction,7AK,2,13,0.36612903225806454,14338.357051566203
12,construction,7AK,2,14,0.3145161290322581,16175.610407437234
13,construction,7AK,2,15,0.33366935483870963,18144.18212268327
14,construction,7AK,2,16,0.3590725806451613,19989.406181679304
15,construction,7AK,2,17,0.3139112903225806,21624.13610005034
16,construction,7AK,2,18,0.3266129032258064,23443.893362171373
17,construction,7AK,2,19,0.33326612903225805,25666.115468042408
18,construction,7AK,2,20,0.33326612903225805,27740.382495788443
0,systems,7AK,2,2,1.0,-4741.837978373269
1,systems,7AK,2,3,0.9423387096774194,-3475.2476645562783
2,systems,7AK,2,4,0.8592741935483872,-2279.7022726142877
3,systems,7AK,2,5,0.7695564516129032,-2102.638325984797
4,systems,7AK,2,6,0.7372983870967742,453.06429251969166
5,systems,7AK,2,7,0.7245967741935483,1814.054996961684
6,systems,7AK,2,8,0.7693548387096774,4987.928513903673
7,systems,7AK,2,9,0.6471774193548386,6144.141874595662
8,systems,7AK,2,10,0.6084677419354838,8283.232188412654
9,systems,7AK,2,11,0.551008064516129,10470.627189729643
10,systems,7AK,2,12,0.4622983870967742,12749.459691046635
11,systems,7AK,2,13,0.4554435483870968,15104.450395488624
12,systems,7AK,2,14,0.47379032258064513,17320.862974930613
13,systems,7AK,2,15,0.4673387096774193,20018.0939137476
14,systems,7AK,2,16,0.46108870967741933,22830.088524439598
15,systems,7AK,2,17,0.4354838709677419,24998.161260131586
16,systems,7AK,2,18,0.3592741935483871,26907.618761448575
17,systems,7AK,2,19,0.3721774193548388,29438.271575265564
18,systems,7AK,2,20,0.36612903225806454,32177.83454533256
0,energy_loads,7AK,2,2,0.8655241935483872,1802.8439009847311
1,energy_loads,7AK,2,3,0.7629032258064516,1742.7457355354088
2,energy_loads,7AK,2,4,0.6731854838709677,1940.3087028985865
3,energy_loads,7AK,2,5,0.5705645161290323,2026.877163425827
4,energy_loads,7AK,2,6,0.564516129032258,1974.4624696561923
5,energy_loads,7AK,2,7,0.4737903225806452,1991.3135229568697
6,energy_loads,7AK,2,8,0.4546370967741936,1973.5263926637977
7,energy_loads,7AK,2,9,0.4362903225806452,2016.459599284788
8,energy_loads,7AK,2,10,0.3522177419354839,2095.861800046403
9,energy_loads,7AK,2,11,0.3651209677419355,2142.7301873314564
10,energy_loads,7AK,2,12,0.3719758064516129,2242.0630521555713
11,energy_loads,7AK,2,13,0.3721774193548387,2237.8227968624988
12,energy_loads,7AK,2,14,0.3399193548387097,2295.244406803802
13,energy_loads,7AK,2,15,0.3463709677419355,2369.8649913544796
14,energy_loads,7AK,2,16,0.3203629032258064,2322.9579880145325
15,energy_loads,7AK,2,17,0.3203629032258064,2383.228596979273
16,energy_loads,7AK,2,18,0.307258064516129,2380.614226695966
17,energy_loads,7AK,2,19,0.23125,2489.8612455728157
18,energy_loads,7AK,2,20,0.2564516129032258,2492.3861575160718
0,construction,7AK,3,2,0.9777777777777779,2662.72932005549
1,construction,7AK,3,3,0.5416666666666666,2365.647833377329
2,construction,7AK,3,4,0.8305555555555555,2653.4465652050276
3,construction,7AK,3,5,0.6861111111111111,2836.524166661633
4,construction,7AK,3,6,0.48888888888888893,3083.590415579175
5,construction,7AK,3,7,0.4611111111111111,3591.649584418592
6,construction,7AK,3,8,0.41666666666666663,4810.280286461135
7,construction,7AK,3,9,0.5083333333333333,5245.314308816178
8,construction,7AK,3,10,0.4416666666666666,5977.263370233719
9,construction,7AK,3,11,0.46944444444444444,6931.832548838762
10,construction,7AK,3,12,0.4444444444444445,8026.293817287555
11,construction,7AK,3,13,0.29444444444444445,8972.051960736346
12,construction,7AK,3,14,0.29166666666666663,10049.218795591389
13,construction,7AK,3,15,0.29444444444444445,11143.931040602682
14,construction,7AK,3,16,0.24444444444444446,12152.741918426473
15,construction,7AK,3,17,0.24722222222222223,13211.329163437767
16,construction,7AK,3,18,0.24722222222222223,14306.009181886559
17,construction,7AK,3,19,0.29444444444444445,15382.4650792416
0,systems,7AK,3,2,0.8805555555555555,459.26501626160507
1,systems,7AK,3,3,0.9777777777777779,959.2958143320097
2,systems,7AK,3,4,0.663888888888889,1274.4782237305394
3,systems,7AK,3,5,0.6583333333333333,1649.113758129069
4,systems,7AK,3,6,0.611111111111111,1873.8139897932233
5,systems,7AK,3,7,0.5361111111111111,2250.000549582378
6,systems,7AK,3,8,0.5361111111111111,3334.8162597621576
7,systems,7AK,3,9,0.3861111111111111,3621.7647824419373
8,systems,7AK,3,10,0.31666666666666665,3996.895678168592
9,systems,7AK,3,11,0.27222222222222225,4469.895714520248
10,systems,7AK,3,12,0.2972222222222222,5212.175536028151
11,systems,7AK,3,13,0.2694444444444445,5865.579380973557
12,systems,7AK,3,14,0.3138888888888889,6465.028636075211
13,systems,7AK,3,15,0.19722222222222224,7146.994981020616
14,systems,7AK,3,16,0.22222222222222224,7908.94765409102
15,systems,7AK,3,17,0.24166666666666664,8593.293881848926
16,systems,7AK,3,18,0.15,9251.07223851308
17,systems,7AK,3,19,0.125,9980.443856895985
0,energy_loads,7AK,3,2,0.7333333333333333,645.427444725111
1,energy_loads,7AK,3,3,0.7333333333333333,629.2332589071515
2,energy_loads,7AK,3,4,0.6861111111111111,657.1634017024733
3,energy_loads,7AK,3,5,0.663888888888889,635.5629658845137
4,energy_loads,7AK,3,6,0.6777777777777778,606.9217585821791
5,energy_loads,7AK,3,7,0.5166666666666666,632.7858308208602
6,energy_loads,7AK,3,8,0.34444444444444444,693.3159949784866
7,energy_loads,7AK,3,9,0.39166666666666666,662.5392781851853
8,energy_loads,7AK,3,10,0.3194444444444445,679.6652866116106
9,energy_loads,7AK,3,11,0.36944444444444446,645.7185754640611
10,energy_loads,7AK,3,12,0.37222222222222223,671.5607818580156
11,energy_loads,7AK,3,13,0.3472222222222222,699.391712006853
12,energy_loads,7AK,3,14,0.3638888888888889,718.9095928392842
13,energy_loads,7AK,3,15,0.2694444444444445,770.771162636559
14,energy_loads,7AK,3,16,0.29444444444444445,737.2476005978963
15,energy_loads,7AK,3,17,0.29444444444444445,798.7120146334523
16,energy_loads,7AK,3,18,0.29444444444444445,843.7181461983052
17,energy_loads,7AK,3,19,0.27222222222222225,860.7485697553459
0,construction,7AK,4,2,0.9099999999999999,313.1835991537796
1,construction,7AK,4,3,0.5900000000000001,219.45113846320783
2,construction,7AK,4,4,0.55,504.2994272843548
3,construction,7AK,4,5,0.55,818.4991565351893
4,construction,7AK,4,6,0.44000000000000006,1113.3939541453988
5,construction,7AK,4,7,0.0,1527.7114812477962
6,construction,7AK,4,8,0.27999999999999997,2135.362992725193
7,construction,7AK,4,9,0.32,2625.5931174838397
8,construction,7AK,4,10,0.42000000000000004,3087.873291070612
0,systems,7AK,4,2,0.9199999999999999,135.9119927084671
1,systems,7AK,4,3,0.9199999999999999,197.82162186164533
2,systems,7AK,4,4,0.8699999999999999,555.2005503312298
3,systems,7AK,4,5,0.8300000000000001,994.1357532148768
4,systems,7AK,4,6,0.6900000000000001,1322.2400234813363
5,systems,7AK,4,7,0.45,1684.0347234352962
6,systems,7AK,4,8,0.52,2046.3075728033182
7,systems,7AK,4,9,0.0,2452.3353049838397
8,systems,7AK,4,10,0.0,2929.785644586237
0,energy_loads,7AK,4,2,0.8699999999999999,276.6688825554644
1,energy_loads,7AK,4,3,0.6,273.83861709356717
2,energy_loads,7AK,4,4,0.6599999999999999,208.10697300007814
3,energy_loads,7AK,4,5,0.6,223.88093651156953
4,energy_loads,7AK,4,6,0.65,251.49282498033637
5,energy_loads,7AK,4,7,0.5,271.29405976257976
6,energy_loads,7AK,4,8,0.48,244.35960728896373
7,energy_loads,7AK,4,9,0.45,193.24150003019156
8,energy_loads,7AK,4,10,0.45999999999999996,226.18125409954428
0,construction,7AK,5,2,0.9666666666666668,537.1583934703763
1,construction,7AK,5,3,0.86,668.6195937215743
2,construction,7AK,5,4,0.86,917.277907009882
3,construction,7AK,5,5,0.7466666666666667,1140.1613179544393
4,construction,7AK,5,6,0.6333333333333334,1187.6099754810284
5,construction,7AK,5,7,0.56,1228.9822169919921
6,construction,7AK,5,8,0.56,1597.1579252998308
7,construction,7AK,5,9,0.48666666666666664,1929.8363191545445
8,construction,7AK,5,10,0.37333333333333335,2322.8501622280082
9,construction,7AK,5,11,0.4533333333333333,2684.8496010045974
10,construction,7AK,5,12,0.37333333333333335,3079.9369304061856
11,construction,7AK,5,13,0.44000000000000006,3492.4434492609
0,systems,7AK,5,2,0.9666666666666668,32.968929993620804
1,systems,7AK,5,3,0.7066666666666667,478.1209667437456
2,systems,7AK,5,4,0.6666666666666667,998.5142144313709
3,systems,7AK,5,5,0.6333333333333333,1197.6494054783707
4,systems,7AK,5,6,0.56,1776.622975431621
5,systems,7AK,5,7,0.43999999999999995,2499.420275853621
6,systems,7AK,5,8,0.5266666666666666,3133.3142559631206
7,systems,7AK,5,9,0.4866666666666667,3721.474593494496
8,systems,7AK,5,10,0.4800000000000001,4444.576581416496
9,systems,7AK,5,11,0.37333333333333335,5127.588725588495
10,systems,7AK,5,12,0.38,5768.637490854246
11,systems,7AK,5,13,0.37333333333333335,6496.684058854371
0,energy_loads,7AK,5,2,0.9333333333333333,189.686261121656
1,energy_loads,7AK,5,3,0.7866666666666666,204.9201055828629
2,energy_loads,7AK,5,4,0.5933333333333334,243.44797641888664
3,energy_loads,7AK,5,5,0.52,257.419202338376
4,energy_loads,7AK,5,6,0.4533333333333333,200.28055734722085
5,energy_loads,7AK,5,7,0.38,204.2433909327258
6,energy_loads,7AK,5,8,0.4133333333333333,241.58352859537922
7,energy_loads,7AK,5,9,0.3333333333333333,235.65465380686078
8,energy_loads,7AK,5,10,0.3333333333333333,285.6013283347486
9,energy_loads,7AK,5,11,0.3333333333333333,337.86605706185503
10,energy_loads,7AK,5,12,0.2533333333333333,335.3876217264616
11,energy_loads,7AK,5,13,0.22666666666666666,375.324927357865
0,construction,7AK,6,2,0.7155354449472096,1333.3045664394576
1,construction,7AK,6,3,0.7119909502262445,4437.133731451633
