,archetype_category,IECC_climate_code,TYPEHUQ,cluster_count,best_prediction_accuracy,bic
0,construction,1A,2.0,2.0,0.860096618357488,2130.3971902030526
1,construction,1A,2.0,3.0,0.8951690821256039,7217.335351384481
2,construction,1A,2.0,4.0,0.725024154589372,7816.863356315911
3,construction,1A,2.0,5.0,0.6990338164251207,8699.481693278589
4,construction,1A,2.0,6.0,0.7376811594202898,10923.298760710019
5,construction,1A,2.0,7.0,0.7203864734299517,11597.474226578946
6,construction,1A,2.0,8.0,0.6116908212560386,15332.872348697874
7,construction,1A,2.0,9.0,0.6290821256038648,15959.512658316802
8,construction,1A,2.0,10.0,0.6156521739130435,17122.129530435734
9,construction,1A,2.0,11.0,0.6201932367149758,19878.393863492158
10,construction,1A,2.0,12.0,0.6026086956521739,22498.15624342359
11,construction,1A,2.0,13.0,0.585024154589372,24423.10124054252
12,construction,1A,2.0,14.0,0.5505314009661836,25975.393893911445
13,construction,1A,2.0,15.0,0.5499516908212561,27726.254906655377
14,construction,1A,2.0,16.0,0.48028985507246374,29423.6784193993
15,construction,1A,2.0,17.0,0.48,30635.273807143232
16,construction,1A,2.0,18.0,0.48,33643.541069887164
17,construction,1A,2.0,19.0,0.48483091787439614,35901.85716075609
18,construction,1A,2.0,20.0,0.3889855072463768,39831.56582975002
0,systems,1A,2.0,2.0,0.8428019323671497,-10897.463528775212
1,systems,1A,2.0,3.0,0.8475362318840579,-13649.70304153604
2,systems,1A,2.0,4.0,0.8257004830917876,-16132.02458554687
3,systems,1A,2.0,5.0,0.7642512077294686,-14118.8168326827
4,systems,1A,2.0,6.0,0.5501449275362319,-16662.76142356853
5,systems,1A,2.0,7.0,0.4936231884057971,-13996.289998829358
6,systems,1A,2.0,8.0,0.49342995169082127,-11448.724824090186
7,systems,1A,2.0,9.0,0.5106280193236715,-8917.577618101015
8,systems,1A,2.0,10.0,0.4758454106280193,-5836.68822461184
9,systems,1A,2.0,11.0,0.47613526570048303,-3374.3964873726727
10,systems,1A,2.0,12.0,0.47623188405797096,-1202.3156876334979
11,systems,1A,2.0,13.0,0.42782608695652175,1706.8510496056697
12,systems,1A,2.0,14.0,0.4234782608695652,3396.1310680948445
13,systems,1A,2.0,15.0,0.4540096618357488,6945.450149084012
14,systems,1A,2.0,16.0,0.44096618357487916,10204.437198823187
15,systems,1A,2.0,17.0,0.43236714975845414,13959.146904812354
16,systems,1A,2.0,18.0,0.43236714975845414,17361.00504830153
17,systems,1A,2.0,19.0,0.4194202898550724,20655.546785540697
18,systems,1A,2.0,20.0,0.42801932367149753,24086.74086652987
0,energy_loads,1A,2.0,2.0,0.7292753623188406,792.6021822238488
1,energy_loads,1A,2.0,3.0,0.7249275362318841,844.2696704703628
2,energy_loads,1A,2.0,4.0,0.7074396135265701,731.0540410410956
3,energy_loads,1A,2.0,5.0,0.6419323671497585,678.1805289213987
4,energy_loads,1A,2.0,6.0,0.6419323671497585,667.3419403551686
5,energy_loads,1A,2.0,7.0,0.672463768115942,-42.514722246706015
6,energy_loads,1A,2.0,8.0,0.672463768115942,25.824030648245525
7,energy_loads,1A,2.0,9.0,0.6375845410628019,1213.7559079328455
8,energy_loads,1A,2.0,10.0,0.41062801932367154,1099.8220167848283
9,energy_loads,1A,2.0,11.0,0.4192270531400967,1021.2601043965767
10,energy_loads,1A,2.0,12.0,0.5720772946859902,406.4639543374267
11,energy_loads,1A,2.0,13.0,0.628792270531401,400.0520968808157
12,energy_loads,1A,2.0,14.0,0.28396135265700484,933.7956349320173
13,energy_loads,1A,2.0,15.0,0.24898550724637677,939.7964972019688
14,energy_loads,1A,2.0,16.0,0.24898550724637677,965.3383140617641
15,energy_loads,1A,2.0,17.0,0.25314009661835746,1029.9243203746844
16,energy_loads,1A,2.0,18.0,0.25314009661835746,1063.98371535948
17,energy_loads,1A,2.0,19.0,0.29236714975845407,993.5612988208377
18,energy_loads,1A,2.0,20.0,0.29236714975845407,1046.4287382392267
0,construction,1A,3.0,2.0,0.8266666666666665,1821.988377630781
1,construction,1A,3.0,3.0,0.6066666666666667,1921.9089721053533
2,construction,1A,3.0,4.0,0.45555555555555555,2181.312720876801
3,construction,1A,3.0,5.0,0.5688888888888888,3843.3751610544987
4,construction,1A,3.0,6.0,0.5666666666666667,5246.706400060322
5,construction,1A,3.0,7.0,0.5422222222222223,6451.411906644269
6,construction,1A,3.0,8.0,0.37111111111111106,7053.120587056341
7,construction,1A,3.0,9.0,0.37111111111111106,8342.089033093414
8,construction,1A,3.0,10.0,0.3244444444444444,9148.070174442986
9,construction,1A,3.0,11.0,0.32666666666666666,10570.52006579256
10,construction,1A,3.0,12.0,0.3288888888888889,12005.942613392133
11,construction,1A,3.0,13.0,0.37111111111111106,13519.818285991703
12,construction,1A,3.0,14.0,0.2822222222222222,14834.542591403777
13,construction,1A,3.0,15.0,0.27999999999999997,16104.7234397846
14,construction,1A,3.0,16.0,0.32666666666666666,17609.429190509174
15,construction,1A,3.0,17.0,0.2822222222222222,19003.338066233744
16,construction,1A,3.0,18.0,0.3244444444444444,21014.829461489568
17,construction,1A,3.0,19.0,0.21777777777777776,22010.15581768289
18,construction,1A,3.0,20.0,0.21777777777777776,23547.84057231371
0,systems,1A,3.0,2.0,0.8711111111111111,-956.1070813535939
1,systems,1A,3.0,3.0,0.8311111111111111,-187.2773071915217
2,systems,1A,3.0,4.0,0.8066666666666666,879.328834158051
3,systems,1A,3.0,5.0,0.6533333333333333,1974.7264794138737
4,systems,1A,3.0,6.0,0.6711111111111111,3424.6724645134473
5,systems,1A,3.0,7.0,0.6755555555555555,4462.596965238019
6,systems,1A,3.0,8.0,0.6533333333333333,6201.524395650091
7,systems,1A,3.0,9.0,0.5866666666666667,7294.627119030914
8,systems,1A,3.0,10.0,0.5466666666666666,8825.186873661736
9,systems,1A,3.0,11.0,0.6088888888888888,10277.67240954256
10,systems,1A,3.0,12.0,0.5244444444444445,11404.097886829633
11,systems,1A,3.0,13.0,0.5244444444444445,12940.814379741703
12,systems,1A,3.0,14.0,0.4133333333333333,14463.083607028777
13,systems,1A,3.0,15.0,0.3044444444444444,15515.9421897846
14,systems,1A,3.0,16.0,0.2,16806.229971759174
15,systems,1A,3.0,17.0,0.25999999999999995,18285.777519358744
