,archetype_category,IECC_climate_code,TYPEHUQ,cluster_count,best_prediction_accuracy,bic
0,construction,4B,1.0,2.0,0.8666666666666666,370.87993493234364
1,construction,4B,1.0,3.0,0.7999999999999999,495.6017265955496
2,construction,4B,1.0,4.0,0.5,484.76678608102134
3,construction,4B,1.0,5.0,0.4333333333333333,681.6469029395398
4,construction,4B,1.0,6.0,0.26666666666666666,890.9790461652458
0,systems,4B,1.0,2.0,0.7,48.891775986414814
1,systems,4B,1.0,3.0,0.8,725.1354641288049
2,systems,4B,1.0,4.0,0.5333333333333333,1364.489992114945
3,systems,4B,1.0,5.0,0.6,2135.0734019370225
4,systems,4B,1.0,6.0,0.5,2865.927197501287
0,energy_loads,4B,1.0,2.0,0.9333333333333332,228.22064525299513
1,energy_loads,4B,1.0,3.0,0.6333333333333333,148.18496996348978
2,energy_loads,4B,1.0,4.0,0.7,137.04409295279302
3,energy_loads,4B,1.0,5.0,0.5666666666666667,147.39238983125642
4,energy_loads,4B,1.0,6.0,0.5,165.40818243725886
0,construction,4B,2.0,2.0,0.7800865800865802,3282.8572992210575
1,construction,4B,2.0,3.0,0.770995670995671,5380.672821503169
2,construction,4B,2.0,4.0,0.7333333333333333,6205.247499058718
3,construction,4B,2.0,5.0,0.4766233766233766,7522.862215676769
4,construction,4B,2.0,6.0,0.4125541125541126,7432.700076826068
5,construction,4B,2.0,7.0,0.3571428571428571,8340.275730944119
6,construction,4B,2.0,8.0,0.38484848484848483,10107.583806937168
7,construction,4B,2.0,9.0,0.3670995670995671,11664.529578242717
8,construction,4B,2.0,10.0,0.3761904761904762,13729.540779235766
9,construction,4B,2.0,11.0,0.38484848484848483,16215.335183353815
10,construction,4B,2.0,12.0,0.3666666666666666,18646.240915596863
11,construction,4B,2.0,13.0,0.303030303030303,20007.248210339916
12,construction,4B,2.0,14.0,0.2939393939393939,21324.44300508296
13,construction,4B,2.0,15.0,0.2848484848484848,23879.904401388514
14,construction,4B,2.0,16.0,0.2939393939393939,26307.12068050656
15,construction,4B,2.0,17.0,0.26666666666666666,28901.091842437112
16,construction,4B,2.0,18.0,0.30173160173160174,30857.484879367665
17,construction,4B,2.0,19.0,0.2753246753246753,33451.24510379821
18,construction,4B,2.0,20.0,0.27575757575757576,36061.85884385376
0,systems,4B,2.0,2.0,1.0,-1839.2284772764342
1,systems,4B,2.0,3.0,0.8532467532467531,1070.0576455264636
2,systems,4B,2.0,4.0,0.8532467532467534,1930.2285339543614
3,systems,4B,2.0,5.0,0.7437229437229437,4607.877938007259
4,systems,4B,2.0,6.0,0.890909090909091,6725.431638935155
5,systems,4B,2.0,7.0,0.8441558441558442,9963.489246113055
6,systems,4B,2.0,8.0,0.7974025974025973,12976.74802516595
7,systems,4B,2.0,9.0,0.7238095238095238,15784.01071046885
8,systems,4B,2.0,10.0,0.4398268398268398,17572.38277077175
9,systems,4B,2.0,11.0,0.5034632034632034,20776.602487324642
10,systems,4B,2.0,12.0,0.532034632034632,24548.540953877542
11,systems,4B,2.0,13.0,0.503030303030303,27910.59856105544
12,systems,4B,2.0,14.0,0.42857142857142855,31095.92179323334
13,systems,4B,2.0,15.0,0.4103896103896104,34901.424712911234
14,systems,4B,2.0,16.0,0.38571428571428573,38364.64442946413
15,systems,4B,2.0,17.0,0.40389610389610386,42151.40906789203
16,systems,4B,2.0,18.0,0.3943722943722944,45802.681518819925
17,systems,4B,2.0,19.0,0.4311688311688312,49163.19811037283
18,systems,4B,2.0,20.0,0.36666666666666664,52902.415873800725
0,energy_loads,4B,2.0,2.0,0.8991341991341992,1180.0860468628011
1,energy_loads,4B,2.0,3.0,0.7796536796536797,1178.9098943818008
2,energy_loads,4B,2.0,4.0,0.5774891774891774,1165.604530475019
3,energy_loads,4B,2.0,5.0,0.6329004329004329,1205.8364590487058
4,energy_loads,4B,2.0,6.0,0.47705627705627707,1293.076688403643
5,energy_loads,4B,2.0,7.0,0.45887445887445893,1267.2398303562363
6,energy_loads,4B,2.0,8.0,0.4038961038961039,1346.855486957267
7,energy_loads,4B,2.0,9.0,0.4043290043290043,1328.2656076696258
8,energy_loads,4B,2.0,10.0,0.4216450216450216,1391.3255696905785
9,energy_loads,4B,2.0,11.0,0.377056277056277,1423.751467990828
